log_id,timestamp,equipment_id,location_id,activity,cycle_time_minutes,payload_tonnes,fuel_consumed_litres,weather_condition
66,"2026-06-01 17:56:23",HT-001,CRU_01,Hauling,15.97,318.01,83.05,Clear
67,"2026-06-01 18:12:22",HT-001,CRU_01,Dumping,3.96,318.01,3.96,Clear
68,"2026-06-01 18:16:19",HT-001,PIT_A,"Empty Return",14.5,0,40.59,Clear
69,"2026-06-01 18:30:49",HT-002,PIT_A,Loading,7.98,341.26,9.58,Clear
70,"2026-06-01 18:38:48",HT-002,CRU_01,Hauling,16.61,341.26,86.37,Clear
71,"2026-06-01 18:55:24",HT-002,CRU_01,Dumping,2.37,341.26,2.37,Clear
72,"2026-06-01 18:57:46",HT-002,PIT_A,"Empty Return",13.83,0,38.71,Clear
73,"2026-06-01 19:11:36",HT-003,PIT_A,Loading,10.57,272.33,12.69,Clear
74,"2026-06-01 19:22:10",HT-003,CRU_01,Hauling,15.94,272.33,82.86,Clear
75,"2026-06-01 19:38:06",HT-003,CRU_01,Dumping,3.54,272.33,3.54,Clear
76,"2026-06-01 19:41:39",HT-003,PIT_A,"Empty Return",12.92,0,36.18,Clear
77,"2026-06-01 19:54:34",HT-004,PIT_A,Loading,10.3,281.08,12.36,Clear
78,"2026-06-01 20:04:52",HT-004,CRU_01,Hauling,16.42,281.08,85.39,Clear
79,"2026-06-01 20:21:17",HT-004,CRU_01,Dumping,3.15,281.08,3.15,Clear
80,"2026-06-01 20:24:26",HT-004,PIT_A,"Empty Return",9.24,0,25.87,Clear
81,"2026-06-01 20:48:41",HT-001,PIT_A,Loading,9.83,330.66,11.8,Clear
82,"2026-06-01 20:58:31",HT-001,CRU_01,Hauling,14.7,330.66,76.44,Clear
83,"2026-06-01 21:13:13",HT-001,CRU_01,Dumping,4.1,330.66,4.1,Clear
84,"2026-06-01 21:17:19",HT-001,PIT_A,"Empty Return",12.56,0,35.16,Clear
85,"2026-06-01 21:29:52",HT-002,PIT_A,Loading,5.87,349.31,7.04,Clear
86,"2026-06-01 21:35:45",HT-002,CRU_01,Hauling,15.37,349.31,79.92,Clear
87,"2026-06-01 21:51:07",HT-002,CRU_01,Dumping,3.04,349.31,3.04,Clear
88,"2026-06-01 21:54:09",HT-002,PIT_A,"Empty Return",12.99,0,36.36,Clear
89,"2026-06-01 22:07:08",HT-003,PIT_A,Loading,11.75,266.19,14.1,Clear
90,"2026-06-01 22:18:53",HT-003,CRU_01,Hauling,14.95,266.19,77.75,Clear
91,"2026-06-01 22:33:51",HT-003,CRU_01,Dumping,2.53,266.19,2.53,Clear
92,"2026-06-01 22:36:23",HT-003,PIT_A,"Empty Return",11.53,0,32.28,Clear
93,"2026-06-01 22:47:54",HT-004,PIT_A,Loading,12.77,272.28,15.32,Clear
94,"2026-06-01 23:00:40",HT-004,CRU_01,Hauling,15.71,272.28,81.69,Clear
95,"2026-06-01 23:16:23",HT-004,CRU_01,Dumping,2.09,272.28,2.09,Clear
96,"2026-06-01 23:18:28",HT-004,PIT_A,"Empty Return",13.38,0,37.46,Clear
97,"2026-06-01 23:46:51",HT-001,PIT_A,Loading,13.93,319.15,16.72,Clear
98,"2026-06-02 00:00:46",HT-001,CRU_01,Hauling,15.66,319.15,81.45,Clear
99,"2026-06-02 00:16:26",HT-001,CRU_01,Dumping,3.26,319.15,3.26,Clear
100,"2026-06-02 00:19:42",HT-001,PIT_A,"Empty Return",11.46,0,32.08,Clear
